TimeStamp,CarPosition.x,CarPosition.y,CarPosition.z,LocalCarPosition.x,LocalCarPosition.y,LocalCarPosition.z,CarRotation.x,CarRotation.y,CarRotation.z,CarRotationQuaternion.x,CarRotationQuaternion.y,CarRotationQuaternion.z,CarRotationQuaternion.w,path_segment_label
1620730141.8768115,537.009521484375,220.83705139160156,1457.4923095703125,-1003.746826171875,-168.57037353515625,153.67919921875,1.174442172050476,239.58612060546875,0.10912801325321198,-0.004265881143510342,0.8677845597267151,-0.009367287158966064,-0.4968339800834656,0
1620730141.8925638,536.6548461914062,220.82504272460938,1457.283447265625,-1003.517822265625,-168.55433654785156,153.33740234375,1.168822169303894,239.5877227783203,0.10776788741350174,-0.00425194576382637,0.867777943611145,-0.009318772703409195,-0.49684661626815796,0
1620730141.9124768,536.3009643554688,220.8130645751953,1457.0753173828125,-1003.2893676757812,-168.538330078125,152.996337890625,1.1724365949630737,239.58847045898438,0.10597977787256241,-0.004281220026314259,0.8677743077278137,-0.009338362142443657,-0.4968522787094116,0
1620730141.9276743,535.948486328125,220.80117797851562,1456.8677978515625,-1003.061767578125,-168.52235412597656,152.65673828125,1.1865062713623047,239.58895874023438,0.1043376475572586,-0.00435470137745142,0.8677711486816406,-0.009437767788767815,-0.4968554377555847,0
1620730141.9455044,535.5978393554688,220.78936767578125,1456.661376953125,-1002.8353271484375,-168.50643920898438,152.31884765625,1.208664894104004,239.5889129638672,0.10330316424369812,-0.004458610899746418,0.8677696585655212,-0.009601084515452385,-0.49685388803482056,0
1620730141.963216,535.5978393554688,220.78936767578125,1456.661376953125,-1002.8353271484375,-168.50643920898438,152.31884765625,1.208664894104004,239.5889129638672,0.10330316424369812,-0.004458610899746418,0.8677696585655212,-0.009601084515452385,-0.49685388803482056,0
1620730141.9789653,535.248779296875,220.7776641845703,1456.456298828125,-1002.6102294921875,-168.4905548095703,151.982421875,1.2359267473220825,239.58807373046875,0.10222838073968887,-0.004584886133670807,0.8677711486816406,-0.00980290211737156,-0.49684619903564453,0
1620730141.997179,534.901611328125,220.7660369873047,1456.2518310546875,-1002.385986328125,-168.4747314453125,151.64794921875,1.265640139579773,239.58648681640625,0.10097409039735794,-0.0047230832278728485,0.8677756786346436,-0.010022539645433426,-0.49683278799057007,0
1620730142.0138576,534.555908203125,220.75448608398438,1456.0487060546875,-1002.1630249023438,-168.45895385742188,151.3148193359375,1.2957098484039307,239.58425903320312,0.09960300475358963,-0.00486364308744669,0.8677827715873718,-0.010244395583868027,-0.49681442975997925,0
1620730142.028331,534.2120971679688,220.74302673339844,1455.8465576171875,-1001.941162109375,-168.44322204589844,150.9835205078125,1.324970006942749,239.58154296875,0.0984141007065773,-0.004999258555471897,0.8677920699119568,-0.010460937395691872,-0.49679216742515564,0
1620730142.0470476,533.8702392578125,220.73170471191406,1455.645263671875,-1001.7203979492188,-168.42752075195312,150.654052734375,1.3527246713638306,239.5783233642578,0.09757498651742935,-0.005125643685460091,0.867803692817688,-0.010667625814676285,-0.4967662990093231,0
1620730142.0637376,533.8702392578125,220.73170471191406,1455.645263671875,-1001.7203979492188,-168.42752075195312,150.654052734375,1.3527246713638306,239.5783233642578,0.09757498651742935,-0.005125643685460091,0.867803692817688,-0.010667625814676285,-0.4967662990093231,0
1620730142.0800896,533.52978515625,220.72044372558594,1455.4451904296875,-1001.5009155273438,-168.411865234375,150.3260498046875,1.3782049417495728,239.57464599609375,0.09718453884124756,-0.0052387164905667305,0.8678174018859863,-0.010859061032533646,-0.49673712253570557,0
1620730142.099081,533.1912231445312,220.70925903320312,1455.245849609375,-1001.2823486328125,-168.39627075195312,149.999755859375,1.4004749059677124,239.5704345703125,0.09628917276859283,-0.005341631360352039,0.8678336143493652,-0.011024028062820435,-0.4967038929462433,0
1620730142.1180296,532.8543701171875,220.69818115234375,1455.0478515625,-1001.0650024414062,-168.38072204589844,149.6751708984375,1.4192429780960083,239.5658721923828,0.0951780304312706,-0.005430956371128559,0.867851734161377,-0.01116156205534935,-0.49666836857795715,0
1620730142.1339872,532.5193481445312,220.68719482421875,1454.8505859375,-1000.8486328125,-168.36521911621094,149.3524169921875,1.4345343112945557,239.56103515625,0.09433354437351227,-0.0055031562224030495,0.8678711652755737,-0.011273940093815327,-0.4966309666633606,0
1620730142.1529374,532.185791015625,220.67628479003906,1454.654541015625,-1000.6334838867188,-168.3497772216797,149.031005859375,1.4469257593154907,239.55587768554688,0.09344606846570969,-0.005563070066273212,0.8678923845291138,-0.011364190839231014,-0.49659115076065063,0
1620730142.169891,531.8543090820312,220.6654510498047,1454.4593505859375,-1000.41943359375,-168.3343963623047,148.7115478515625,1.4566506147384644,239.55050659179688,0.09275996685028076,-0.0056098755449056625,0.8679147362709045,-0.011435134336352348,-0.49654996395111084,0
1620730142.1868026,531.5244140625,220.65469360351562,1454.2652587890625,-1000.2064819335938,-168.31906127929688,148.3936767578125,1.4635450839996338,239.54483032226562,0.09164074808359146,-0.005647660233080387,0.8679386377334595,-0.011482782661914825,-0.49650663137435913,0
1620730142.2027607,531.5244140625,220.65469360351562,1454.2652587890625,-1000.2064819335938,-168.31906127929688,148.3936767578125,1.4635450839996338,239.54483032226562,0.09164074808359146,-0.005647660233080387,0.8679386377334595,-0.011482782661914825,-0.49650663137435913,0
1620730142.2212555,531.1939697265625,220.64395141601562,1454.07080078125,-999.9931640625,-168.30368041992188,148.0753173828125,1.4574406147003174,239.53897094726562,0.09077946096658707,-0.005627147853374481,0.8679645657539368,-0.011433102190494537,-0.4964626729488373,0
